# Danh sach app cai san MAC DINH cua hang san xuat may (driver/bloatware OEM)
# Dong bat dau bang # la ghi chu, se bi bo qua
# So khop khong phan biet hoa/thuong, chi can chua 1 phan ten la du (khong can go chinh xac tuyet doi)
Dell SupportAssist
Dell Optimizer
Dell Digital Delivery
Dell Update
HP Support Assistant
HP Documentation
HP System Event Utility
HP Wolf Security
Lenovo Vantage
Lenovo Utility
Lenovo Service Bridge
ASUS
Acer Care Center
MSI Center
MSI App
Realtek
Intel(R) Graphics
Intel(R) Management Engine
Intel(R) Chipset
NVIDIA Graphics Driver
NVIDIA Control Panel
Synaptics
ELAN Input Driver
Windows Driver Package
Killer Control Center
